pollster_list,MAAPE
Columbus Dispatch,1
University of New Orleans,6.7
Southern Illinois University,7.3
Western Kentucky University,9.6
University of Washington,11.1
Southern Media and Opinion Research,13.2
Dan Jones Associates,14.7
University of North Florida,15.4
Landmark Communication,16.3
University of Maryland,19.6
OpinionWorks,19.6
Landmark Communication/Rosetta Stone Communications,20
Dixie Strategies,21.7
Hendrix College,23.3
Goucher College,23.5
Elway Research,24.3
JMC Analytics,30.2
Castleton University,30.2
High Point University,34.9
SurveyUSA,37.1
Siena College,37.5
Mason Dixon,38
University of Denver,38.4
Florida Atlantic University,39.3
Opinion Savvy,42
Cherry Communications,44.8
Selzer Company,48.5
Nielson Brothers Polling,51.4
ABT Associates,51.4
Loras College,55.3
Opinion Research Corporation,58.2
Behavior Research Center,60.8
Harper Polling,61.6
Emerson College,62.4
Rasmussen,62.8
Public Policy Polling,63.6
Quinnipiac University,65.6
Anderson Robbins Research/Shaw Company Research,67.8
Muhlenberg College,68.5
YouGov,72
Elon University,72.5
Monmouth University,73.8
Merrill Research International,74.5
Public Opinion Strategies,74.7
Suffolk University,74.8
Keating Research,74.9
Marist College,76
Remington Research,76.6
Bendixen Amandi International,80
Gravis Marketing,80.2
Fort Hays St University,83.8
Mercyhurst University,89.5
Hart Research Associates,95.6
Ball State University,101.7
Magellan Strategies,102.1
Susquehanna Polling Research,116.6
Marquette University,122.6
Franklin Marshall College,122.7
St Norbert College,133.8
MassINC Polling Group,135.9
University of Massachusetts Lowell,136.6
Franklin Pierce College,140.6
Dartmouth College,148
University of New Hampshire,148.8
University of Massachusetts Amherst,152.3
American Research Group,152.9
